Name,Score,Episodes,Air Date,Source,Studio,id,Genre
Tsubasa RESERVoir CHRoNiCLE: Tokyo Revelations,8.33,3,"Nov 16, 2007 to Mar 17, 2008",Manga,Production I.G,2685,"['Action', 'Adventure', 'Drama', 'Romance', 'Fantasy', 'Shounen']"
Yuru Yuri Nachuyachumi!+,7.80,2,"Aug 21, 2015 to Sep 18, 2015",Manga,TYO Animations,30902,"['Slice of Life', 'Comedy', 'Shoujo Ai']"
Space Dandy,7.87,13,"Jan 5, 2014 to Mar 27, 2014",Funimation,Bones,20057,"['Sci-Fi', 'Space', 'Comedy']"
Barakamon,8.42,12,"Jul 6, 2014 to Sep 28, 2014",Funimation,Kinema Citrus,22789,"['Comedy', 'Slice of Life']"
Detective Conan: The Jet Black Chaser,8.26,1,"Apr 18, 2009",Manga,Tokyo Movie Shinsha,5460,"['Action', 'Police', 'Mystery', 'Shounen']"
Baccano! Specials,8.17,3,"Feb 27, 2008 to May 28, 2008",Light novel,Brain's Base,3901,"['Action', 'Mystery', 'Comedy', 'Historical', 'Supernatural']"
anohana: The Flower We Saw That Day The Movie,8.01,1,"Aug 31, 2013",Original,A-1 Pictures,15039,"['Slice of Life', 'Supernatural', 'Drama']"
A Certain Scientific Railgun S,8.07,24,"Apr 12, 2013 to Sep 27, 2013",Funimation,J.C.Staff,16049,"['Action', 'Sci-Fi', 'Super Power']"
Miss Kobayashi's Dragon Maid,8.06,13,"Jan 12, 2017 to Apr 6, 2017",Funimation,Kyoto Animation,33206,"['Slice of Life', 'Comedy', 'Fantasy']"
Bungou Stray Dogs: Dead Apple,7.82,1,"Mar 3, 2018",Manga,Bones,34944,"['Action', 'Comedy', 'Mystery', 'Super Power', 'Supernatural']"
The Irresponsible Captain Tylor,7.88,26,"Jan 25, 1993 to Jul 19, 1993",Nozomi Entertainment,Tatsunoko Production,569,"['Military', 'Sci-Fi', 'Space', 'Comedy', 'Parody']"
Berserk: The Golden Age Arc III - The Advent,8.23,1,"Feb 1, 2013",Manga,Studio 4°C,12115,"['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Seinen', 'Supernatural']"
Gurren Lagann,8.68,27,"Apr 1, 2007 to Sep 30, 2007","ADV Films,       Bandai Entertainment,       Aniplex of America",Gainax,2001,"['Action', 'Adventure', 'Comedy', 'Mecha', 'Sci-Fi']"
Your Name.,9.02,1,"Aug 26, 2016",Original,CoMix Wave Films,32281,"['Romance', 'Supernatural', 'School', 'Drama']"
Neon Genesis Evangelion,8.31,26,"Oct 4, 1995 to Mar 27, 1996","ADV Films,       Netflix",Tatsunoko Production,30,"['Action', 'Dementia', 'Drama', 'Mecha', 'Psychological', 'Sci-Fi']"
Maria Watches Over Us: Printemps,7.70,13,"Jul 4, 2004 to Sep 26, 2004",Nozomi Entertainment,Studio Deen,444,"['Drama', 'Romance', 'School', 'Shoujo', 'Shoujo Ai']"
Strawberry Marshmallow Encore,7.71,2,"Jan 23, 2009 to Mar 25, 2009",4-koma manga,Daume,4811,"['Comedy', 'Slice of Life']"
The Prince of Tennis,7.92,178,"Oct 10, 2001 to Mar 23, 2005",Viz Media,Trans Arts,22,"['Action', 'Comedy', 'Sports', 'School', 'Shounen']"
Rakshasa Street,7.78,24,"Apr 28, 2016 to Oct 20, 2016",Manga,L²Studio,33350,"['Action', 'Supernatural']"
Berserk,8.48,25,"Oct 8, 1997 to Apr 1, 1998","Media Blasters,       NYAV Post",OLM,33,"['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Romance', 'Seinen', 'Supernatural']"
Sound! Euphonium 2,8.30,13,"Oct 6, 2016 to Dec 29, 2016",Ponycan USA,Kyoto Animation,31988,"['Music', 'School', 'Drama']"
Ghost in the Shell: Stand Alone Complex - The Laughing Man,8.10,1,"Sep 23, 2005",Manga,Production I.G,2449,"['Action', 'Sci-Fi', 'Mystery', 'Police', 'Psychological', 'Mecha', 'Seinen']"
Ginga Nagareboshi Gin,8.05,21,"Apr 7, 1986 to Aug 22, 1986","None found, add some",Toei Animation,589,"['Action', 'Adventure', 'Drama', 'Shounen']"
March comes in like a lion,8.44,22,"Oct 8, 2016 to Mar 18, 2017",Aniplex of America,Shaft,31646,"['Drama', 'Game', 'Seinen', 'Slice of Life']"
Bakemonogatari,8.36,15,"Jul 3, 2009 to Jun 25, 2010",Aniplex of America,Shaft,5081,"['Romance', 'Supernatural', 'Mystery', 'Vampire']"
